Fecha,Predicciones
2/13/2014,1207.97
2/14/2014,1232.87
2/15/2014,355.62
2/16/2014,2.97
2/17/2014,696.25
2/18/2014,1050.55
2/19/2014,1184.70
2/20/2014,1207.97
2/21/2014,1232.87
2/22/2014,355.62
2/23/2014,2.97
2/24/2014,696.25
2/25/2014,1050.55
2/26/2014,1184.70
2/27/2014,1207.97
2/28/2014,1232.87
3/1/2014,365.85
3/2/2014,3.06
3/3/2014,716.26
3/4/2014,1080.76
3/5/2014,1218.76
3/6/2014,1242.70
3/7/2014,1268.32
3/8/2014,365.85
3/9/2014,3.06
3/10/2014,716.26
3/11/2014,1080.76
3/12/2014,1218.76
3/13/2014,1242.70
3/14/2014,1268.32
3/15/2014,365.85
3/16/2014,3.06
3/17/2014,716.26
3/18/2014,1080.76
3/19/2014,1218.76
3/20/2014,1242.70
3/21/2014,1268.32
3/22/2014,365.85
3/23/2014,3.06
3/24/2014,716.26
3/25/2014,1080.76
3/26/2014,1218.76
3/27/2014,1242.70
3/28/2014,1268.32
3/29/2014,365.85
3/30/2014,3.06
3/31/2014,716.26
4/1/2014,1059.83
4/2/2014,1195.16
4/3/2014,1218.64
4/4/2014,1243.76
4/5/2014,358.77
4/6/2014,3.00
4/7/2014,702.40
4/8/2014,1059.83
4/9/2014,1195.16
4/10/2014,1218.64
4/11/2014,1243.76
4/12/2014,358.77
4/13/2014,3.00
4/14/2014,702.40
4/15/2014,1059.83
4/16/2014,1195.16
4/17/2014,1218.64
4/18/2014,1243.76
4/19/2014,358.77
4/20/2014,3.00
4/21/2014,702.40
4/22/2014,1059.83
4/23/2014,1195.16
4/24/2014,1218.64
4/25/2014,1243.76
4/26/2014,358.77
4/27/2014,3.00
4/28/2014,702.40
4/29/2014,1059.83
4/30/2014,1195.16
5/1/2014,1219.03
5/2/2014,1244.16
5/3/2014,358.88
5/4/2014,3.00
5/5/2014,702.62
5/6/2014,1060.17
5/7/2014,1195.55
5/8/2014,1219.03
5/9/2014,1244.16
5/10/2014,358.88
5/11/2014,3.00
5/12/2014,702.62
5/13/2014,1060.17
5/14/2014,1195.55
5/15/2014,1219.03
5/16/2014,1244.16
5/17/2014,358.88
5/18/2014,3.00
5/19/2014,702.62
5/20/2014,1060.17
5/21/2014,1195.55
5/22/2014,1219.03
5/23/2014,1244.16
5/24/2014,358.88
5/25/2014,3.00
5/26/2014,702.62
5/27/2014,1060.17
5/28/2014,1195.55
5/29/2014,1219.03
5/30/2014,1244.16
5/31/2014,358.88
6/1/2014,2.93
6/2/2014,686.32
6/3/2014,1035.58
6/4/2014,1167.82
6/5/2014,1190.76
6/6/2014,1215.30
6/7/2014,350.56
6/8/2014,2.93
6/9/2014,686.32
6/10/2014,1035.58
6/11/2014,1167.82
6/12/2014,1190.76
6/13/2014,1215.30
6/14/2014,350.56
6/15/2014,2.93
6/16/2014,686.32
6/17/2014,1035.58
6/18/2014,1167.82
6/19/2014,1190.76
6/20/2014,1215.30
6/21/2014,350.56
6/22/2014,2.93
6/23/2014,686.32
6/24/2014,1035.58
6/25/2014,1167.82
6/26/2014,1190.76
6/27/2014,1215.30
6/28/2014,350.56
6/29/2014,2.93
6/30/2014,686.32
7/1/2014,1100.56
7/2/2014,1241.09
7/3/2014,1265.47
7/4/2014,1291.55
7/5/2014,372.55
7/6/2014,3.12
7/7/2014,729.39
7/8/2014,1100.56
7/9/2014,1241.09
7/10/2014,1265.47
7/11/2014,1291.55
7/12/2014,372.55
